
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Sep 2002-Dic 2019
BANSANDER,1.09,28.29,12.61,11.24,22.64,10.07,_,_,_,_,_,_,_,_,_,_,_,_,_
CAPITAL,0.59,25.59,12.27,10.47,22.41,8.69,-38.82,42.51,10.44,-11.68,6.01,6.51,8.55,3.86,-1.10,15.27,-5.37,17.20,6.50
CUPRUM,1.14,27.28,13.50,10.77,21.87,9.24,-40.90,42.54,12.18,-10.64,5.99,7.13,9.20,3.88,-0.81,15.67,-5.71,16.87,6.54
HABITAT,-0.51,26.58,12.87,9.98,22.09,10.26,-39.91,45.14,12.40,-10.66,6.15,7.02,8.81,4.03,-0.22,15.76,-5.58,16.71,6.63
MAGISTER,0.15,20.74,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MODELO,_,_,_,_,_,_,_,_,_,-9.39,5.47,6.73,8.40,3.19,0.26,15.07,-6.53,17.90,_
PLANVITAL,1.60,25.24,11.94,9.95,23.13,8.43,-38.99,44.19,11.03,-10.57,6.84,7.19,8.30,2.86,-1.62,14.61,-5.75,17.15,6.15
PROVIDA,1.53,27.03,12.73,11.20,22.33,11.23,-41.32,43.78,11.58,-11.59,6.01,6.35,8.88,3.51,-1.59,15.08,-5.42,18.49,6.52
,,,,,,,,,,,,,,,,,,,
SISTEMA,0.68,26.94,12.86,10.71,22.25,10.06,-40.26,43.49,11.64,-11.13,6.06,6.79,8.86,3.79,-0.87,15.44,-5.59,17.27,6.55
